1
20 20
 7 7 7 7 7 7 7 7 1 1 1 1 1 1 1 1 1 1 1 1
 7 7 7 6 7 7 7 2 7 1 1 1 1 1 1 1 1 1 1 1
 7 7 7 6 6 7 7 2 2 7 1 1 1 1 1 1 1 1 1 1
 7 7 6 6 6 7 2 2 2 7 7 1 1 1 1 1 1 1 1 1
 7 7 7 6 7 2 2 2 2 2 7 7 1 1 1 1 1 1 1 1
 7 7 7 7 2 2 2 2 2 2 2 7 7 3 1 1 1 1 1 1
 7 7 7 7 7 2 2 2 2 2 2 2 3 3 3 1 1 1 1 1
 7 7 7 7 7 7 2 2 2 2 2 3 3 3 3 3 1 1 1 1
 7 7 7 7 7 7 7 2 2 2 3 3 3 3 3 3 3 1 1 1
 7 7 7 7 7 7 2 2 2 3 3 3 3 3 3 3 3 3 1 1
 7 7 7 7 7 2 2 2 2 3 3 3 3 3 3 3 3 3 1 1
 7 7 7 7 7 2 2 2 3 3 3 3 3 3 3 3 3 3 3 2
 7 7 7 7 7 7 2 2 2 3 3 3 3 3 3 3 3 3 2 2
 7 7 7 7 7 7 4 2 2 2 3 3 3 3 3 3 3 2 2 2
 7 7 7 7 7 7 7 4 2 2 2 3 3 3 3 3 2 2 2 2
 7 7 7 7 7 7 7 4 4 2 2 2 3 3 3 2 2 2 2 2
 7 7 7 7 7 7 7 7 4 4 2 7 7 3 7 7 2 2 2 7
 7 7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 2 7 7
 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
 
